equipment_id,name,flavor_text,equipment_type,max_durability,mastery_cap,synthesis_gold_cost,bonus_max_hp,bonus_max_mp,bonus_strength,bonus_defense,bonus_intelligence,bonus_luck,bonus_speed,equippable_jobs
2102,まもりの鎧,まもりのちかいがこもった鎧。守護系向けの高防御装備,Armor,52,340,260,770,0,0,248,0,0,33,Guardian|Trickster|Crusader|GrandGuard|Shogun
2103,まどうしのローブ,まりょくのめぐりをよくするローブ。魔導系向けにMPと知性を強化,Armor,52,340,260,438,54,0,99,9,0,71,Mage|FireMage|WaterMage|WindMage|GrandCaster|Archmage
2104,しんかんのころも,せいなるいのりがやどるころも。神官系向けにMPと知性、守備を支える,Armor,52,340,260,567,88,0,119,22,0,73,Priest|HighPriest|Necromancer|GrandPriest|Archmage
2105,かりうどの軽鎧,かぜをまとってかける軽鎧。射手系向けに速度と運を高める,Armor,52,340,260,517,0,187,111,0,41,105,Ranger|Sniper|TrapMaster|GrandRanger|GreatThief
1201,はおうのつるぎ,はおうのきひんがただよう大剣。グランドウォリアー専用,Weapon,54,360,280,0,0,176,16,0,0,20,GrandWarrior
1202,おしろのやり,おしろのまもりをそのままうつした長槍。グランドガード専用,Weapon,54,360,280,49,0,81,66,0,0,65,GrandGuard
1203,げんその大杖,ほのお・みず・かぜのちからをたばねる大杖。グランドキャスター専用,Weapon,54,360,280,0,62,0,74,13,0,53,GrandCaster
1204,さばきの杖,せいなるさばきをくだす杖。グランドプリースト専用,Weapon,54,360,280,48,70,0,123,12,0,26,GrandPriest
1205,ながれぼしの弓,ながれぼしのようなはやさで矢をはなつ弓。グランドレンジャー専用,Weapon,54,360,280,0,0,280,0,0,61,158,GrandRanger
1206,しょうぐんの太刀,ぐんぜいをひきいるしょうぐんの太刀。大将軍専用,Weapon,58,380,320,26,16,241,263,0,28,33,Shogun
1207,だいまどうの杖,だいまどうのちからをひきだす杖。大魔法使い専用,Weapon,58,380,320,0,107,0,116,30,45,66,Archmage
1208,かいとうの双刃,よるをかけるかいとうのあいぼう。大盗賊専用,Weapon,58,380,320,0,0,165,93,0,178,216,GreatThief
1301,めいおうのつるぎ,めいかいのおうのちからがやどるつるぎ。はおうのつるぎをこえる最終決戦剣,Weapon,62,420,380,0,0,244,24,0,0,81,GrandWarrior
1302,なんこうふらくのやり,なにものもとおさぬまもりのやり。最終局面むけの防衛武装,Weapon,62,420,380,35,0,139,355,0,0,37,GrandGuard
1303,せいうんの大杖,せいうんのひかりをとじこめた大杖。極限の魔導戦のための一品,Weapon,62,420,380,0,53,0,88,27,0,44,GrandCaster
1304,てんばつの杖,てんばつをくだすちからをひめた杖。回復と制圧を両立する,Weapon,62,420,380,35,61,0,103,33,0,32,GrandPriest
1305,りゅうせいぐんの弓,りゅうせいぐんのごとく矢のあめをふらせる究極の弓,Weapon,62,420,380,0,0,261,0,0,104,132,GrandRanger
1306,てんかとういつの太刀,てんかとういつをなしとげるための大将軍専用太刀,Weapon,66,450,420,38,21,364,217,0,56,52,Shogun
1307,ぎんがの大杖,ぎんがのかがやきをやどす大魔法使い専用の杖,Weapon,66,450,420,0,72,0,96,37,42,52,Archmage
1308,まぼろしの双刃,まぼろしをあやつる大盗賊専用の双刃,Weapon,66,450,420,0,0,232,68,0,175,192,GreatThief
2201,はおうの鎧,はおうのいげんをまとう重鎧。グランドウォリアー・大将軍専用,Armor,60,400,340,927,0,557,164,0,0,0,GrandWarrior|Shogun
2202,きんじょうてっぺきの鎧,きんじょうてっぺきのまもりをほこる鎧。グランドガード・大将軍専用,Armor,60,400,340,1013,0,142,448,0,0,39,GrandGuard|Shogun
2203,げんそのローブ,げんそのちからをあやつるローブ。グランドキャスター・大魔法使い専用,Armor,60,400,340,724,171,0,132,40,0,81,GrandCaster|Archmage
2204,せいじゃのころも,せいじゃのしゅくふくがおりこまれたころも。グランドプリースト・大魔法使い専用,Armor,60,400,340,767,199,0,191,51,0,82,GrandPriest|Archmage
2205,ながれぼしの軽鎧,ながれぼしのかごをうけた軽鎧。グランドレンジャー・大盗賊専用,Armor,60,400,340,822,0,442,242,0,92,121,GrandRanger|GreatThief
2206,しょうぐんの鎧,ぐんぜいをすべるしょうぐんの鎧。大将軍専用,Armor,64,420,380,895,26,279,246,0,83,82,Shogun
2207,だいまどうのローブ,だいまどうのちえがしみこんだローブ。大魔法使い専用,Armor,64,420,380,728,211,0,141,52,70,95,Archmage
2208,かいとうのスーツ,よるにとけるかいとうのスーツ。大盗賊専用,Armor,64,420,380,773,0,362,198,0,111,140,GreatThief
1401,ぶしんのつるぎ,ぶしんのたましいがやどるつるぎ。武神専用の最終決戦武器,Weapon,72,500,460,0,0,462,174,0,0,58,Bushin
1402,しゅごしんのやり,しゅごしんのかごをやどすやり。守護神専用の防衛武装,Weapon,72,500,460,49,0,207,390,0,0,50,Shugoshin
1403,せいかいおうの大杖,せいかいのことわりをつむぐ大杖。星界王専用の魔導器,Weapon,72,500,460,0,74,0,70,42,0,69,Seikaiou
1404,まとうおうの双刃,ひかりさえぬすむといわれる双刃。魔盗王専用の暗器,Weapon,72,500,460,0,0,345,78,0,394,256,Matouou
2301,ぶしんの鎧,ぶしんのいげんをまとう重鎧。武神専用,Armor,70,480,440,1266,0,836,184,0,0,0,Bushin
2302,しゅごしんの鎧,なにものもとおさぬしゅごしんの鎧。守護神専用,Armor,70,480,440,1395,0,164,529,0,0,55,Shugoshin
2303,せいかいおうのローブ,ほしぼしのひかりをおりこんだローブ。星界王専用,Armor,70,480,440,957,394,0,89,131,0,137,Seikaiou
2304,まとうおうのスーツ,やみよにとけるまとうおうのスーツ。魔盗王専用,Armor,70,480,440,997,0,496,153,0,229,220,Matouou
