id,job_code,job_name,description,master_level,max_hp,max_mp,strength,defense,intelligence,luck,speed,required_master_job_1,required_master_job_2,required_master_job_3
12,WaterMage,水魔法使い,奔流と雨を操る水の魔導士。MPと知力がよく伸び、広い範囲へ安定した水魔法を叩き込む。,30,5,6,0,2,5,1,2,Mage,,
13,WindMage,風魔法使い,暴風を呼ぶ風の魔導士。知力と素早さが伸び、全体を巻き込む風魔法で一気に制圧する。,30,4,6,0,1,5,2,4,Mage,,
14,HighPriest,神官,より高位の加護を司る聖職者。MPと知力が伸び、列回復と再生の祈りで味方の戦線を維持する。,30,5,6,0,1,5,2,1,Priest,,
15,Necromancer,死霊使い,死の気配と亡者の力を操る禁忌の術師。筋力と知力を併せ持ち、即死呪法と死霊召喚で敵を追い詰める。,30,5,5,3,1,5,2,1,Priest,,
16,Sniper,スナイパー,一撃必殺を狙う狙撃の名手。筋力と素早さと運が伸び、毒矢と急所撃ちで確実に獲物を仕留める。,30,5,2,4,1,1,4,5,Ranger,,
17,TrapMaster,罠師,罠と霧で戦場を支配する策士。MPと素早さが伸び、麻痺罠と黒霧で敵の行動精度を崩す。,30,5,4,2,2,3,2,4,Ranger,,
18,GrandWarrior,グランドウォリアー,覇道の剣気で敵陣を断ち砕く豪勇の剣王。筋力と素早さがさらに伸び、列を薙ぐ斬撃と血戦の覚悟で前線を押し潰す。,40,9,2,7,3,0,1,5,OniWarrior,SwordMaster,
19,GrandGuard,グランドガード,絶対の守護を掲げて仲間すべてを庇う守城騎士。HPと防御が大きく伸び、祈りと城壁の構えで盤石の戦線を築く。,40,9,4,1,7,3,1,2,SwordMaster,Trickster,
20,GrandCaster,グランドキャスター,三大精霊を束ねる大魔導の体現者。MPと知力が大きく伸び、広域殲滅と魔力転成で戦場を支配する。,40,6,7,0,1,7,1,5,FireMage,WaterMage,WindMage
21,GrandPriest,グランドプリースト,生死の境を越えて加護を与える大神官。MPと知力が伸び、全体回復と蘇生結界で味方を立て直す。,40,7,7,0,2,6,2,1,HighPriest,Necromancer,
22,GrandRanger,グランドレンジャー,無数の罠と死角の狙撃で獲物を逃がさぬ狩猟王。筋力と運と素早さが伸び、全体罠と即死狙撃で敵軍を崩す。,40,7,3,5,2,2,5,5,Sniper,TrapMaster,
23,Shogun,大将軍,万軍を率いる覇者の将。全能力が高く伸び、己を鼓舞してから放つ一閃で敵主力を討ち果たす。,50,9,4,6,6,3,3,3,GrandWarrior,GrandGuard,
24,Archmage,大魔法使い,星々の理を編み替える究極の魔導師。MPと知力が極めて伸び、終末級魔法と超回復で戦局を塗り替える。,50,6,9,0,2,8,2,4,GrandCaster,GrandPriest,
25,GreatThief,大盗賊,戦場と財宝の匂いを嗅ぎ分ける伝説の盗賊王。運と素早さが大きく伸び、首狩りと災厄の紫煙で獲物も報酬も逃がさない。,50,7,4,4,2,3,6,6,Warrior,WindMage,GrandRanger
27,Bushin,武神,万武を統べ究極の剣を振るう武の到達点。HP・筋力・防御が極めて伸び、烈震剣技と戦神の構えで戦場を壊す。,60,11,3,9,7,1,3,3,GrandWarrior,,
28,Seikaiou,星界王,星々の理を極めし大魔導の王。MPと知力が飛躍的に伸び、超広域魔法と魔力の根源で次元を変える。,60,6,11,1,3,10,2,5,GrandCaster,,
29,Matouou,魔盗王,盗賊道の頂点にして闇の王。運と素早さが極限まで伸び、絶対回避と死の刻印で全てを奪う。,60,8,5,5,3,4,7,8,GreatThief,,
