floor,theme,is_boss,f_n,攻撃_hp,攻撃_str,攻撃_def,防御_hp,防御_str,防御_def,支援_hp,支援_str,支援_def,boss_hp,boss_str,reward_exp
530,3,True,5619.0,1123800,224760,112380,2022840,140475,258474,1236180,112380,123618,5478525,463567,530
540,4,True,5833.0,1166600,233320,116660,2099880,145825,268318,1283260,116660,128326,5687175,481222,540
550,5,True,6051.0,1210200,242040,121020,2178360,151275,278346,1331220,121020,133122,5899725,499207,550
560,1,True,6273.0,1254600,250920,125460,2258280,156825,288558,1380060,125460,138006,6116175,517522,560
570,2,True,6499.0,1299800,259960,129980,2339640,162475,298954,1429780,129980,142978,6336525,536167,570
580,3,True,6729.0,1345800,269160,134580,2422440,168225,309534,1480380,134580,148038,6560775,555142,580
590,4,True,6963.0,1392600,278520,139260,2506680,174075,320298,1531860,139260,153186,6788925,574447,590
600,5,True,7201.0,1440200,288040,144020,2592360,180025,331246,1584220,144020,158422,7020975,594082,600
610,1,True,7443.0,1488600,297720,148860,2679480,186075,342378,1637460,148860,163746,7256925,614047,610
620,2,True,7689.0,1537800,307560,153780,2768040,192225,353694,1691580,153780,169158,7496775,634342,620
630,3,True,7939.0,1587800,317560,158780,2858040,198475,365194,1746580,158780,174658,7740525,654967,630
640,4,True,8193.0,1638600,327720,163860,2949480,204825,376878,1802460,163860,180246,7988175,675922,640
650,5,True,8451.0,1690200,338040,169020,3042360,211275,388746,1859220,169020,185922,8239725,697207,650
660,1,True,8713.0,1742600,348520,174260,3136680,217825,400798,1916860,174260,191686,8495175,718822,660
670,2,True,8979.0,1795800,359160,179580,3232440,224475,413034,1975380,179580,197538,8754525,740767,670
680,3,True,9249.0,1849800,369960,184980,3329640,231225,425454,2034780,184980,203478,9017775,763042,680
690,4,True,9523.0,1904600,380920,190460,3428280,238075,438058,2095060,190460,209506,9284925,785647,690
700,5,True,9801.0,1960200,392040,196020,3528360,245025,450846,2156220,196020,215622,9555975,808582,700
710,1,True,10083.0,2016600,403320,201660,3629880,252075,463818,2218260,201660,221826,9830925,831847,710
720,2,True,10369.0,2073800,414760,207380,3732840,259225,476974,2281180,207380,228118,10109775,855442,720
730,3,True,10659.0,2131800,426360,213180,3837240,266475,490314,2344980,213180,234498,10392525,879367,730
740,4,True,10953.0,2190600,438120,219060,3943080,273825,503838,2409660,219060,240966,10679175,903622,740
750,5,True,11251.0,2250200,450040,225020,4050360,281275,517546,2475220,225020,247522,10969725,928207,750
760,1,True,11553.0,2310600,462120,231060,4159080,288825,531438,2541660,231060,254166,11264175,953122,760
770,2,True,11859.0,2371800,474360,237180,4269240,296475,545514,2608980,237180,260898,11562525,978367,770
780,3,True,12169.0,2433800,486760,243380,4380840,304225,559774,2677180,243380,267718,11864775,1003942,780
790,4,True,12483.0,2496600,499320,249660,4493880,312075,574218,2746260,249660,274626,12170925,1029847,790
800,5,True,12801.0,2560200,512040,256020,4608360,320025,588846,2816220,256020,281622,12480975,1056082,800
810,1,True,13123.0,2624600,524920,262460,4724280,328075,603658,2887060,262460,288706,12794925,1082647,810
820,2,True,13449.0,2689800,537960,268980,4841640,336225,618654,2958780,268980,295878,13112775,1109542,820
830,3,True,13779.0,2755800,551160,275580,4960440,344475,633834,3031380,275580,303138,13434525,1136767,830
840,4,True,14113.0,2822600,564520,282260,5080680,352825,649198,3104860,282260,310486,13760175,1164322,840
850,5,True,14451.0,2890200,578040,289020,5202360,361275,664746,3179220,289020,317922,14089725,1192207,850
860,1,True,14793.0,2958600,591720,295860,5325480,369825,680478,3254460,295860,325446,14423175,1220422,860
870,2,True,15139.0,3027800,605560,302780,5450040,378475,696394,3330580,302780,333058,14760525,1248967,870
880,3,True,15489.0,3097800,619560,309780,5576040,387225,712494,3407580,309780,340758,15101775,1277842,880
890,4,True,15843.0,3168600,633720,316860,5703480,396075,728778,3485460,316860,348546,15446925,1307047,890
900,5,True,16201.0,3240200,648040,324020,5832360,405025,745246,3564220,324020,356422,15795975,1336582,900
910,1,True,16563.0,3312600,662520,331260,5962680,414075,761898,3643860,331260,364386,16148925,1366447,910
920,2,True,16929.0,3385800,677160,338580,6094440,423225,778734,3724380,338580,372438,16505775,1396642,920
930,3,True,17299.0,3459800,691960,345980,6227640,432475,795754,3805780,345980,380578,16866525,1427167,930
940,4,True,17673.0,3534600,706920,353460,6362280,441825,812958,3888060,353460,388806,17231175,1458022,940
950,5,True,18051.0,3610200,722040,361020,6498360,451275,830346,3971220,361020,397122,17599725,1489207,950
960,1,True,18433.0,3686600,737320,368660,6635880,460825,847918,4055260,368660,405526,17972175,1520722,960
970,2,True,18819.0,3763800,752760,376380,6774840,470475,865674,4140180,376380,414018,18348525,1552567,970
980,3,True,19209.0,3841800,768360,384180,6915240,480225,883614,4225980,384180,422598,18728775,1584742,980
990,4,True,19603.0,3920600,784120,392060,7057080,490075,901738,4312660,392060,431266,19112925,1617247,990
1000,5,True,20001.0,4000200,800040,400020,7200360,500025,920046,4400220,400020,440022,19500975,1650082,1000
1010,1,True,20403.0,4080600,816120,408060,7345080,510075,938538,4488660,408060,448866,19892925,1683247,1010
1020,2,True,20809.0,4161800,832360,416180,7491240,520225,957214,4577980,416180,457798,20288775,1716742,1020
1030,3,True,21219.0,4243800,848760,424380,7638840,530475,976074,4668180,424380,466818,20688525,1750567,1030
1040,4,True,21633.0,4326600,865320,432660,7787880,540825,995118,4759260,432660,475926,21092175,1784722,1040
1050,5,True,22051.0,4410200,882040,441020,7938360,551275,1014346,4851220,441020,485122,21499725,1819207,1050
1060,1,True,22473.0,4494600,898920,449460,8090280,561825,1033758,4944060,449460,494406,21911175,1854022,1060
1070,2,True,22899.0,4579800,915960,457980,8243640,572475,1053354,5037780,457980,503778,22326525,1889167,1070
1080,3,True,23329.0,4665800,933160,466580,8398440,583225,1073134,5132380,466580,513238,22745775,1924642,1080
1090,4,True,23763.0,4752600,950520,475260,8554680,594075,1093098,5227860,475260,522786,23168925,1960447,1090
1100,5,True,24201.0,4840200,968040,484020,8712360,605025,1113246,5324220,484020,532422,23595975,1996582,1100
1110,1,True,24643.0,4928600,985720,492860,8871480,616075,1133578,5421460,492860,542146,24026925,2033047,1110
1120,2,True,25089.0,5017800,1003560,501780,9032040,627225,1154094,5519580,501780,551958,24461775,2069842,1120
1130,3,True,25539.0,5107800,1021560,510780,9194040,638475,1174794,5618580,510780,561858,24900525,2106967,1130
1140,4,True,25993.0,5198600,1039720,519860,9357480,649825,1195678,5718460,519860,571846,25343175,2144422,1140
1150,5,True,26451.0,5290200,1058040,529020,9522360,661275,1216746,5819220,529020,581922,25789725,2182207,1150
1160,1,True,26913.0,5382600,1076520,538260,9688680,672825,1237998,5920860,538260,592086,26240175,2220322,1160
1170,2,True,27379.0,5475800,1095160,547580,9856440,684475,1259434,6023380,547580,602338,26694525,2258767,1170
1180,3,True,27849.0,5569800,1113960,556980,10025640,696225,1281054,6126780,556980,612678,27152775,2297542,1180
1190,4,True,28323.0,5664600,1132920,566460,10196280,708075,1302858,6231060,566460,623106,27614925,2336647,1190
1200,5,True,28801.0,5760200,1152040,576020,10368360,720025,1324846,6336220,576020,633622,28080975,2376082,1200
1210,1,True,29283.0,5856600,1171320,585660,10541880,732075,1347018,6442260,585660,644226,28550925,2415847,1210
1220,2,True,29769.0,5953800,1190760,595380,10716840,744225,1369374,6549180,595380,654918,29024775,2455942,1220
1230,3,True,30259.0,6051800,1210360,605180,10893240,756475,1391914,6656980,605180,665698,29502525,2496367,1230
1240,4,True,30753.0,6150600,1230120,615060,11071080,768825,1414638,6765660,615060,676566,29984175,2537122,1240
1250,5,True,31251.0,6250200,1250040,625020,11250360,781275,1437546,6875220,625020,687522,30469725,2578207,1250
1260,1,True,31753.0,6350600,1270120,635060,11431080,793825,1460638,6985660,635060,698566,30959175,2619622,1260
1270,2,True,32259.0,6451800,1290360,645180,11613240,806475,1483914,7096980,645180,709698,31452525,2661367,1270
1280,3,True,32769.0,6553800,1310760,655380,11796840,819225,1507374,7209180,655380,720918,31949775,2703442,1280
1290,4,True,33283.0,6656600,1331320,665660,11981880,832075,1531018,7322260,665660,732226,32450925,2745847,1290
1300,5,True,33801.0,6760200,1352040,676020,12168360,845025,1554846,7436220,676020,743622,32955975,2788582,1300
1310,1,True,34323.0,6864600,1372920,686460,12356280,858075,1578858,7551060,686460,755106,33464925,2831647,1310
1320,2,True,34849.0,6969800,1393960,696980,12545640,871225,1603054,7666780,696980,766678,33977775,2875042,1320
1330,3,True,35379.0,7075800,1415160,707580,12736440,884475,1627434,7783380,707580,778338,34494525,2918767,1330
1340,4,True,35913.0,7182600,1436520,718260,12928680,897825,1651998,7900860,718260,790086,35015175,2962822,1340
1350,5,True,36451.0,7290200,1458040,729020,13122360,911275,1676746,8019220,729020,801922,35539725,3007207,1350
1360,1,True,36993.0,7398600,1479720,739860,13317480,924825,1701678,8138460,739860,813846,36068175,3051922,1360
1370,2,True,37539.0,7507800,1501560,750780,13514040,938475,1726794,8258580,750780,825858,36600525,3096967,1370
1380,3,True,38089.0,7617800,1523560,761780,13712040,952225,1752094,8379580,761780,837958,37136775,3142342,1380
1390,4,True,38643.0,7728600,1545720,772860,13911480,966075,1777578,8501460,772860,850146,37676925,3188047,1390
1400,5,True,39201.0,7840200,1568040,784020,14112360,980025,1803246,8624220,784020,862422,38220975,3234082,1400
1410,1,True,39763.0,7952600,1590520,795260,14314680,994075,1829098,8747860,795260,874786,38768925,3280447,1410
1420,2,True,40329.0,8065800,1613160,806580,14518440,1008225,1855134,8872380,806580,887238,39320775,3327142,1420
1430,3,True,40899.0,8179800,1635960,817980,14723640,1022475,1881354,8997780,817980,899778,39876525,3374167,1430
1440,4,True,41473.0,8294600,1658920,829460,14930280,1036825,1907758,9124060,829460,912406,40436175,3421522,1440
1450,5,True,42051.0,8410200,1682040,841020,15138360,1051275,1934346,9251220,841020,925122,40999725,3469207,1450
1460,1,True,42633.0,8526600,1705320,852660,15347880,1065825,1961118,9379260,852660,937926,41567175,3517222,1460
1470,2,True,43219.0,8643800,1728760,864380,15558840,1080475,1988074,9508180,864380,950818,42138525,3565567,1470
1480,3,True,43809.0,8761800,1752360,876180,15771240,1095225,2015214,9637980,876180,963798,42713775,3614242,1480
1490,4,True,44403.0,8880600,1776120,888060,15985080,1110075,2042538,9768660,888060,976866,43292925,3663247,1490
1500,5,True,45001.0,9000200,1800040,900020,16200360,1125025,2070046,9900220,900020,990022,43875975,3712582,1500
1510,1,True,45603.0,9120600,1824120,912060,16417080,1140075,2097738,10032660,912060,1003266,44462925,3762247,1510
1520,2,True,46209.0,9241800,1848360,924180,16635240,1155225,2125614,10165980,924180,1016598,45053775,3812242,1520
1530,3,True,46819.0,9363800,1872760,936380,16854840,1170475,2153674,10300180,936380,1030018,45648525,3862567,1530
1540,4,True,47433.0,9486600,1897320,948660,17075880,1185825,2181918,10435260,948660,1043526,46247175,3913222,1540
1550,5,True,48051.0,9610200,1922040,961020,17298360,1201275,2210346,10571220,961020,1057122,46849725,3964207,1550
1560,1,True,48673.0,9734600,1946920,973460,17522280,1216825,2238958,10708060,973460,1070806,47456175,4015522,1560
1570,2,True,49299.0,9859800,1971960,985980,17747640,1232475,2267754,10845780,985980,1084578,48066525,4067167,1570
1580,3,True,49929.0,9985800,1997160,998580,17974440,1248225,2296734,10984380,998580,1098438,48680775,4119142,1580
1590,4,True,50563.0,10112600,2022520,1011260,18202680,1264075,2325898,11123860,1011260,1112386,49298925,4171447,1590
1600,5,True,51201.0,10240200,2048040,1024020,18432360,1280025,2355246,11264220,1024020,1126422,49920975,4224082,1600
1610,1,True,51843.0,10368600,2073720,1036860,18663480,1296075,2384778,11405460,1036860,1140546,50546925,4277047,1610
1620,2,True,52489.0,10497800,2099560,1049780,18896040,1312225,2414494,11547580,1049780,1154758,51176775,4330342,1620
1630,3,True,53139.0,10627800,2125560,1062780,19130040,1328475,2444394,11690580,1062780,1169058,51810525,4383967,1630
1640,4,True,53793.0,10758600,2151720,1075860,19365480,1344825,2474478,11834460,1075860,1183446,52448175,4437922,1640
1650,5,True,54451.0,10890200,2178040,1089020,19602360,1361275,2504746,11979220,1089020,1197922,53089725,4492207,1650
1660,1,True,55113.0,11022600,2204520,1102260,19840680,1377825,2535198,12124860,1102260,1212486,53735175,4546822,1660
1670,2,True,55779.0,11155800,2231160,1115580,20080440,1394475,2565834,12271380,1115580,1227138,54384525,4601767,1670
1680,3,True,56449.0,11289800,2257960,1128980,20321640,1411225,2596654,12418780,1128980,1241878,55037775,4657042,1680
1690,4,True,57123.0,11424600,2284920,1142460,20564280,1428075,2627658,12567060,1142460,1256706,55694925,4712647,1690
1700,5,True,57801.0,11560200,2312040,1156020,20808360,1445025,2658846,12716220,1156020,1271622,56355975,4768582,1700
1710,1,True,58483.0,11696600,2339320,1169660,21053880,1462075,2690218,12866260,1169660,1286626,57020925,4824847,1710
1720,2,True,59169.0,11833800,2366760,1183380,21300840,1479225,2721774,13017180,1183380,1301718,57689775,4881442,1720
1730,3,True,59859.0,11971800,2394360,1197180,21549240,1496475,2753514,13168980,1197180,1316898,58362525,4938367,1730
1740,4,True,60553.0,12110600,2422120,1211060,21799080,1513825,2785438,13321660,1211060,1332166,59039175,4995622,1740
1750,5,True,61251.0,12250200,2450040,1225020,22050360,1531275,2817546,13475220,1225020,1347522,59719725,5053207,1750
1760,1,True,61953.0,12390600,2478120,1239060,22303080,1548825,2849838,13629660,1239060,1362966,60404175,5111122,1760
1770,2,True,62659.0,12531800,2506360,1253180,22557240,1566475,2882314,13784980,1253180,1378498,61092525,5169367,1770
1780,3,True,63369.0,12673800,2534760,1267380,22812840,1584225,2914974,13941180,1267380,1394118,61784775,5227942,1780
1790,4,True,64083.0,12816600,2563320,1281660,23069880,1602075,2947818,14098260,1281660,1409826,62480925,5286847,1790
1800,5,True,64801.0,12960200,2592040,1296020,23328360,1620025,2980846,14256220,1296020,1425622,63180975,5346082,1800
1810,1,True,65523.0,13104600,2620920,1310460,23588280,1638075,3014058,14415060,1310460,1441506,63884925,5405647,1810
1820,2,True,66249.0,13249800,2649960,1324980,23849640,1656225,3047454,14574780,1324980,1457478,64592775,5465542,1820
1830,3,True,66979.0,13395800,2679160,1339580,24112440,1674475,3081034,14735380,1339580,1473538,65304525,5525767,1830
1840,4,True,67713.0,13542600,2708520,1354260,24376680,1692825,3114798,14896860,1354260,1489686,66020175,5586322,1840
1850,5,True,68451.0,13690200,2738040,1369020,24642360,1711275,3148746,15059220,1369020,1505922,66739725,5647207,1850
1860,1,True,69193.0,13838600,2767720,1383860,24909480,1729825,3182878,15222460,1383860,1522246,67463175,5708422,1860
1870,2,True,69939.0,13987800,2797560,1398780,25178040,1748475,3217194,15386580,1398780,1538658,68190525,5769967,1870
1880,3,True,70689.0,14137800,2827560,1413780,25448040,1767225,3251694,15551580,1413780,1555158,68921775,5831842,1880
1890,4,True,71443.0,14288600,2857720,1428860,25719480,1786075,3286378,15717460,1428860,1571746,69656925,5894047,1890
1900,5,True,72201.0,14440200,2888040,1444020,25992360,1805025,3321246,15884220,1444020,1588422,70395975,5956582,1900
1910,1,True,72963.0,14592600,2918520,1459260,26266680,1824075,3356298,16051860,1459260,1605186,71138925,6019447,1910
1920,2,True,73729.0,14745800,2949160,1474580,26542440,1843225,3391534,16220380,1474580,1622038,71885775,6082642,1920
1930,3,True,74499.0,14899800,2979960,1489980,26819640,1862475,3426954,16389780,1489980,1638978,72636525,6146167,1930
1940,4,True,75273.0,15054600,3010920,1505460,27098280,1881825,3462558,16560060,1505460,1656006,73391175,6210022,1940
1950,5,True,76051.0,15210200,3042040,1521020,27378360,1901275,3498346,16731220,1521020,1673122,74149725,6274207,1950
1960,1,True,76833.0,15366600,3073320,1536660,27659880,1920825,3534318,16903260,1536660,1690326,74912175,6338722,1960
1970,2,True,77619.0,15523800,3104760,1552380,27942840,1940475,3570474,17076180,1552380,1707618,75678525,6403567,1970
1980,3,True,78409.0,15681800,3136360,1568180,28227240,1960225,3606814,17249980,1568180,1724998,76448775,6468742,1980
1990,4,True,79203.0,15840600,3168120,1584060,28513080,1980075,3643338,17424660,1584060,1742466,77222925,6534247,1990
2000,5,True,80001.0,16000200,3200040,1600020,28800360,2000025,3680046,17600220,1600020,1760022,78000975,6600082,2000
