effect_id,move_id,sequence,effect_type,hit_count,power_rate,fixed_value,critical_rate,element_type,attack_stat,ailment_type,ailment_rate,ailment_turns,buff_stat,buff_op,buff_value,buff_turns,buff_rate,can_stack,override_target_type,override_attack_range,override_target_life_state,allow_boss_instant_death
46,130,1,Damage,8,0.25,0,0.01,Strike,Strength,,,,,,,,,,,,,
47,403,1,Buff,,,,,,,,,,Accuracy,Add,-50,3,1.00,false,,,,
48,131,1,Damage,1,1.50,0,0.03,Water,Strength,,,,,,,,,,,,,
49,507,1,Damage,1,0.60,0,0.01,Water,Intelligence,,,,,,,,,,,,,
50,507,2,Ailment,,,,,,,Sleep,0.50,2,,,,,,,,,,
51,202,1,Damage,10,0.10,0,0.00,Water,Intelligence,,,,,,,,,,,,,
52,508,1,Damage,1,1.20,0,0.02,None,Strength,,,,,,,,,,,,,
53,508,2,Ailment,,,,,,,Paralysis,0.50,1,,,,,,,,,,
54,509,1,Ailment,,,,,,,InstantDeath,0.30,1,,,,,,,,,,
55,132,1,Damage,5,0.35,0,0.02,Slash,Strength,,,,,,,,,,,,,
56,133,1,Damage,1,4.00,0,0.05,Strike,Strength,,,,,,,,,,,,,
57,306,1,Damage,1,1.50,0,0.03,Earth,Strength,,,,,,,,,,,,,
58,306,2,Heal,,0.50,0,,Earth,Strength,,,,,,,,,,Ally,All,Alive,
59,134,1,Damage,1,2.00,0,0.03,Slash,Strength,,,,,,,,,,,,,
60,135,1,Damage,1,4.00,0,0.05,Strike,Strength,,,,,,,,,,,,,
61,510,1,Damage,1,1.00,0,0.02,Fire,Intelligence,,,,,,,,,,,,,
62,510,2,Ailment,,,,,,,Burn,1.00,3,,,,,,,,,,
63,307,1,Heal,,0.80,0,,None,Intelligence,,,,,,,,,,,,,
64,601,1,Damage,1,3.00,0,0.03,Earth,Strength,,,,,,,,,,,,,
65,601,2,Knockout,,,,,,,,,,,,,,,,Self,Single,Alive,
66,511,1,Ailment,,,,,,,InstantDeath,0.30,1,,,,,,,,,,
67,512,1,Damage,1,1.50,0,0.03,None,Strength,,,,,,,,,,,,,
68,512,2,Ailment,,,,,,,Paralysis,0.30,1,,,,,,,,,,
69,308,1,Heal,,0.70,0,,Holy,Strength,,,,,,,,,,,,,
70,136,1,Damage,7,1.00,0,0.02,Strike,Strength,,,,,,,,,,,,,
71,309,1,Heal,,0.00,99999,,Holy,,,,,,,,,,,,,,
72,137,1,Damage,1,1.80,0,0.03,Strike,Strength,,,,,,,,,,,,,
73,138,1,Damage,1,1.80,14,0.06,Slash,Strength,,,,,,,,,,,, ,
74,404,1,Buff,,,,,,,,,,Strength,Mul,1.80,2,1.00,false,,,, 
75,404,2,Buff,,,,,,,,,,Defense,Add,-8,2,1.00,false,,,, 
76,139,1,Damage,1,0.90,8,0.05,Slash,Strength,,,,,,,,,,,, ,
77,405,1,Buff,,,,,,,,,,CriticalChance,Add,45,2,1.00,false,,,, 
78,406,1,Ailment,,,,,,,Taunt,1.00,2,,,,,,,,,,false
79,406,2,Buff,,,,,,,,,,Evasion,Add,25,2,1.00,false,,,, 
80,407,1,Buff,,,,,,,,,,DamageReduction,Add,25,2,1.00,false,,,, 
81,408,1,Ailment,,,,,,,Taunt,1.00,2,,,,,,,,,,false
82,408,2,Buff,,,,,,,,,,Defense,Add,20,2,1.00,false,,,, 
83,409,1,Buff,,,,,,,,,,DamageReduction,Add,35,2,1.00,false,,,, 
84,203,1,Damage,1,0.85,8,0.03,Fire,Intelligence,,,,,,,,,,,, ,
85,410,1,Buff,,,,,,,,,,Intelligence,Add,20,3,1.00,false,,,, 
86,204,1,Damage,1,0.85,8,0.03,Water,Intelligence,,,,,,,,,,,, ,
87,411,1,Buff,,,,,,,,,,Intelligence,Add,20,3,1.00,false,,,, 
88,205,1,Damage,1,0.80,10,0.03,Wind,Intelligence,,,,,,,,,,,, ,
89,412,1,Buff,,,,,,,,,,Intelligence,Add,20,3,1.00,false,,,, 
90,310,1,Heal,,1.50,65,,Holy,Intelligence,,,,,,,,,,,, ,
91,513,1,Ailment,1,0.00,35,0.00,Holy,,Regeneration,1.00,3,,,,,,,,,,false
92,514,1,Ailment,,,,,,,InstantDeath,0.20,1,,,,,,,,,,false
93,206,1,Damage,1,1.70,6,0.03,None,StrengthIntelligence,,,,,,,,,,,, ,
94,515,1,Damage,1,1.60,4,0.02,Pierce,Strength,,,,,,,,,,,, ,
95,515,2,Ailment,,,,,,,Poison,1.00,3,,,,,,,,,,false
96,516,1,Ailment,,,,,,,InstantDeath,0.025,1,,,,,,,,,,false
97,517,1,Damage,1,1.60,3,0.01,Pierce,Strength,,,,,,,,,,,, ,
98,517,2,Ailment,,,,,,,Paralysis,1.00,1,,,,,,,,,,false
99,413,1,Buff,,,,,,,,,,Accuracy,Add,-35,3,1.00,false,,,, 
100,140,1,Damage,1,1.25,18,0.07,Slash,Strength,,,,,,,,,,,,,
101,414,1,Buff,,,,,,,,,,Strength,Mul,1.55,3,1.00,false,,,,
102,414,2,Buff,,,,,,,,,,Speed,Add,20,3,1.00,false,,,,
103,415,1,HalveSelfHp,,,,,,,,,,,,,,,,,,,
104,415,2,Buff,,,,,,,,,,Strength,Mul,2.20,3,1.00,false,,,,
105,518,1,Ailment,,,,,,,CoverAll,1.00,2,,,,,,,,,,false
106,416,1,Buff,,,,,,,,,,Defense,Add,25,3,1.00,false,,,,
107,416,2,Buff,,,,,,,,,,Intelligence,Add,20,3,1.00,false,,,,
108,416,3,Buff,,,,,,,,,,MaxHp,Add,35,3,1.00,false,,,,
109,417,1,Buff,,,,,,,,,,Strength,Set,0,2,1.00,false,,,,
110,417,2,Buff,,,,,,,,,,Speed,Set,0,2,1.00,false,,,,
111,417,3,Buff,,,,,,,,,,Defense,Mul,1.90,2,1.00,false,,,,
112,417,4,Buff,,,,,,,,,,Intelligence,Mul,1.90,2,1.00,false,,,,
113,207,1,Damage,1,1.20,18,0.04,None,Intelligence,,,,,,,,,,,,,
114,418,1,Buff,,,,,,,,,,Intelligence,Mul,1.60,3,1.00,false,,,,
115,418,2,Buff,,,,,,,,,,Speed,Add,20,3,1.00,false,,,,
116,419,1,HalveSelfHp,,,,,,,,,,,,,,,,,,,
117,419,2,Buff,,,,,,,,,,Intelligence,Mul,2.20,3,1.00,false,,,,
118,311,1,Heal,,1.80,80,,Holy,Intelligence,,,,,,,,,,,,,
119,312,1,Heal,,0.00,99999,,Holy,,,,,,,,,,,,,,
120,420,1,Buff,,,,,,,,,,DamageReduction,Add,20,3,1.00,false,,,,
121,519,1,Ailment,1,0.20,18,0.00,None,,DamageTrap,1.00,2,,,,,,,,,,false
122,520,1,Ailment,,,,,,,InstantDeath,0.05,1,,,,,,,,,,false
123,421,1,Buff,,,,,,,,,,MaxHp,Add,50,3,1.00,false,,,,
124,421,2,Buff,,,,,,,,,,MaxMp,Add,25,3,1.00,false,,,,
125,421,3,Buff,,,,,,,,,,Strength,Add,25,3,1.00,false,,,,
126,421,4,Buff,,,,,,,,,,Defense,Add,25,3,1.00,false,,,,
127,421,5,Buff,,,,,,,,,,Intelligence,Add,25,3,1.00,false,,,,
128,421,6,Buff,,,,,,,,,,Luck,Add,20,3,1.00,false,,,,
129,421,7,Buff,,,,,,,,,,Speed,Add,20,3,1.00,false,,,,
130,141,1,Damage,1,2.60,25,0.08,Slash,Strength,,,,,,,,,,,,,
131,208,1,Damage,1,2.10,24,0.05,None,Intelligence,,,,,,,,,,,,,
132,313,1,Heal,,2.40,120,,Holy,Intelligence,,,,,,,,,,,,,
133,602,1,RestoreMp,,1.20,15,,Holy,Intelligence,,,,,,,,,,,,,
134,521,1,Ailment,,,,,,,InstantDeath,0.10,1,,,,,,,,,,false
135,422,1,Ailment,,,,,,,Paralysis,0.30,2,,,,,,,,,,false
136,422,2,Ailment,,,,,,,Poison,0.30,3,,,,,,,,,,false
137,422,3,Ailment,,,,,,,Burn,0.30,3,,,,,,,,,,false
138,422,4,Buff,,,,,,,,,,Accuracy,Add,-30,3,0.30,false,,,,
139,603,1,Ailment,,,,,,,Taunt,1.00,3,,,,,,,,,,false
140,603,2,Buff,,,,,,,,,,Defense,Add,25,3,1.00,false,,,,
141,604,1,Heal,,1.80,120,,Holy,Intelligence,,,,,,,,,,,,
142,605,1,Heal,,0.00,99999,,Holy,,,,,,,,,,,,,Dead,
143,606,1,Buff,,,,,,,,,,Strength,Add,30,3,1.00,false,,,,
144,606,2,Buff,,,,,,,,,,Defense,Add,30,3,1.00,false,,,,
145,606,3,Buff,,,,,,,,,,Intelligence,Add,30,3,1.00,false,,,,
146,607,1,Ailment,,,,,,,InstantDeath,0.60,1,,,,,,,,,,false
147,608,1,Damage,1,5.20,40,0.06,None,Intelligence,,,,,,,,,,,,,
148,609,1,Damage,1,1.90,16,0.05,Pierce,Strength,,,,,,,,,,,,,
149,610,1,Damage,1,2.80,40,0.06,Pierce,Strength,,,,,,,,,,,,,
150,611,1,Damage,1,1.35,60,0.06,Slash,Strength,,,,,,,,,,,,,
151,612,1,Damage,1,1.90,32,0.05,None,Strength,,,,,,,,,,,,,
152,612,2,Ailment,,,,,,,InstantDeath,0.25,1,,,,,,,,,,false
153,613,1,Ailment,,,,,,,Taunt,1.00,3,,,,,,,,,,false
154,613,2,Buff,,,,,,,,,,Defense,Add,20,3,1.00,false,,,,
155,614,1,Buff,,,,,,,,,,Defense,Add,25,3,1.00,false,,,,
156,615,1,Damage,1,2.00,22,0.05,Strike,Defense,,,,,,,,,,,,,
157,616,1,Ailment,,,,,,,Taunt,1.00,3,,,,,,,,,,false
158,616,2,Buff,,,,,,,,,,Defense,Add,30,3,1.00,false,,,,
159,617,1,Buff,,,,,,,,,,Defense,Add,35,3,1.00,false,,,,
160,618,1,Damage,1,3.00,40,0.05,Strike,Defense,,,,,,,,,,,,,
