move_id,move_name,description,target_type,attack_range,mp_cost,execution_priority,move_category,effect_image_path,target_life_state
122,ミッテルゼムリャ,敵横一列を砕く岩撃魔法.,Enemy,Row,7,0,Attack,,
123,グロースゼムリャ,敵横一列を圧し潰す巨岩魔法.,Enemy,Row,11,0,Attack,,
124,ウアゼムリャ,敵横一列を埋め尽くす崩岩魔法.,Enemy,Row,17,0,Attack,,
125,締め付ける,強く締め付ける単体物理攻撃.,Enemy,Single,6,0,Attack,,
126,花吹雪,花びらの渦で敵全体を切り裂く.,Enemy,All,10,0,Attack,,
127,ウーキーストライク,荒々しい一撃を叩き込む.,Enemy,Single,4,0,Attack,,
128,三叉づき,三つ叉の槍で三連撃を放つ.,Enemy,Single,8,0,Attack,,
129,パルスブレイク,脈動する衝撃で叩き割る.,Enemy,Single,8,0,Attack,,
130,タコ殴り,連打の嵐で敵を打ち据える.,Enemy,Single,12,0,Attack,,
131,氷の息,凍てつく息で敵一列を薙ぐ.,Enemy,Column,10,0,Attack,,
132,コウテイスラッシュ,帝王の連斬で切り刻む.,Enemy,Single,27,0,Attack,,
133,シャットダウン,全機能を停止させる決戦打撃.,Enemy,Single,18,0,Attack,,
134,カリトル,刈り取るように敵全体を薙ぐ.,Enemy,All,14,0,Attack,,
135,踏みつけ,圧倒的な質量で踏み潰す.,Enemy,Single,14,0,Attack,,
136,ゴールドラッシュ,黄金の連撃を浴びせる.,Enemy,Single,16,0,Attack,,
137,薙ぎ払い,豪腕で敵一行を一掃する.,Enemy,Row,10,0,Attack,,
138,魔神斬り,鬼気をまとって敵単体へ叩き込む強烈な斬撃.,Enemy,Single,23,0,Attack,,
139,剣閃一文字,研ぎ澄まされた剣閃で敵一行を斬り払う.,Enemy,Row,23,0,Attack,,
140,覇刃列断,覇王の剣気で敵一行をまとめて断ち切る.,Enemy,Row,45,0,Attack,,
141,断界一閃,空間ごと断ち割るほどの一閃を単体へ叩き込む.,Enemy,Single,57,0,Attack,,
201,マグマティーチ,灼熱の茶柱を叩きつける火炎魔法.,Enemy,Single,8,0,Attack,,
202,アイスダンス,氷刃の舞で敵一列を連続攻撃する.,Enemy,Column,12,0,Attack,,
203,フレアライン,灼熱の炎線で敵一列を焼き払う.,Enemy,Column,37,0,Attack,,
204,タイダルレイン,激しい水の奔流で敵一行を飲み込む.,Enemy,Row,37,0,Attack,,
205,テンペスト,暴風で敵全体を吹き荒らす.,Enemy,All,92,0,Attack,,
206,死霊召喚,呼び出した死霊に敵単体を襲わせる.,Enemy,Single,26,0,Attack,,
207,三相崩界,火水風の奔流を束ねて敵全体を呑み込む.,Enemy,All,244,0,Attack,,
208,終末流星,終末の流星群で敵全体を焼き払う.,Enemy,All,244,0,Attack,,
301,マールイテラピー,味方単体のHPを回復.,Ally,Single,2,0,Support,,
302,スレドニーテラピー,味方単体のHPを大きく回復.,Ally,Single,30,0,Support,,
303,ボリショイテラピー,味方単体のHPをかなり回復.,Ally,Single,12,0,Support,,
304,ヴェリーキーテラピー,味方単体のHPを大幅に回復.,Ally,Single,18,0,Support,,
305,吸血,血を啜って自らを癒やす.,Enemy,Single,7,0,Hybrid,,
306,ダイチキョウセイ,大地の力で敵を砕き味方を癒やす.,Enemy,Single,14,0,Hybrid,,
307,みなぎる,力を満たして自らを回復する.,Self,Single,8,0,Support,,
308,サンパワー,太陽の力で味方全員を癒やす.,Ally,All,12,0,Support,,
309,ヘブン,天の光で味方を完全蘇生する.,Ally,Single,20,0,Support,,Dead
310,ホーリーリカバー,聖なる祈りで味方一列を大きく癒やす.,Ally,Column,47,0,Support,,
311,大祝福,大いなる祝福で味方全体を包み込む.,Ally,All,251,0,Support,,
312,魂呼び,離れかけた魂を呼び戻して戦列へ復帰させる.,Ally,Single,262,0,Support,,Dead
313,星天大祈祷,星天の加護で味方全体を超回復する.,Ally,All,251,0,Support,,
401,護符の構え,護符を掲げて狙いを集めつつ身を守る.,Self,Single,6,1,Support,,
402,シルト,味方全体に防御強化を付与.,Ally,All,8,1,Support,,
403,イカ墨,墨を浴びせて命中を鈍らせる.,Enemy,Single,7,0,Support,,
404,捨て身の構え,守りを捨てて攻めへ転じる危険な構え.,Self,Single,12,1,Support,,
405,心眼,次の一太刀を見切りの極意で会心へ導く.,Self,Single,13,1,Support,,
406,幻惑の挑発,幻惑を交えた挑発で狙いを集めつつ身をかわす.,Self,Single,6,1,Support,,
407,トリックガード,味方一人へ奇術めいた防護幕を張る.,Ally,Single,13,1,Support,,
408,聖盾の挑発,聖盾を掲げて敵意を集めつつ守りを固める.,Self,Single,6,1,Support,,
409,プロテクトベール,味方一人を聖なる幕で包み被害を軽減する.,Ally,Single,13,1,Support,,
410,炎脈励起,炎の脈動で己の魔力を燃え上がらせる.,Self,Single,37,1,Support,,
411,水鏡励起,澄んだ水鏡で己の魔力を研ぎ澄ます.,Self,Single,37,1,Support,,
412,風詠励起,風の詠唱で己の魔力を高める.,Self,Single,37,1,Support,,
413,黒霧散布,黒い霧をばら撒き敵全体の狙いを曇らせる.,Enemy,All,62,0,Support,,
414,神速闘気,闘気を巡らせて攻めと速さを同時に高める.,Self,Single,25,1,Support,,
415,血戦覚悟,己の血を代償に限界を超える闘気を引き出す.,Self,Single,27,1,Support,,
416,城塞祈祷,祈りによって己を城塞のごとき守りへ変える.,Self,Single,31,1,Support,,
417,不動城壁,攻めを捨てて不動の要塞と化す.,Self,Single,35,1,Support,,
418,精霊励起,精霊の残響で魔力と反応速度を研ぎ澄ます.,Self,Single,98,1,Support,,
419,魔力転成,生命力を魔力へと転じて知性を極限まで高める.,Self,Single,105,1,Support,,
420,聖域結界,味方全体を聖域の結界で包み被害を抑える.,Ally,All,262,1,Support,,
421,天覇号令,覇者の号令で己の全能力を一気に引き上げる.,Self,Single,39,1,Support,,
422,災厄の紫煙,紫煙をばら撒き敵全体へ複数の災厄を呼び込む.,Enemy,All,117,0,Support,,
501,ちょうはつ,自分を狙わせてヘイトを高める.,Self,Single,1,1,Support,,
502,パラライズ,敵単体を麻痺させる呪縛の術.,Enemy,Single,1,0,Support,,
503,ポイズンミスト,敵一列を毒霧で蝕む.,Enemy,Column,5,0,Support,,
504,トラップセット,敵単体の足元に罠を仕掛ける.,Enemy,Single,13,0,Support,,
505,あくび,眠気を誘って行動不能にする.,Enemy,Single,4,0,Support,,
506,毒針,毒の針で相手を蝕む.,Enemy,Single,5,0,Support,,
507,氷胞子,冷たい胞子で眠りへ誘う.,Enemy,Single,8,0,Hybrid,,
508,電磁法,電磁の衝撃で麻痺を与える.,Enemy,Single,10,0,Hybrid,,
509,オープンザドア,扉を開き奈落へ突き落とす.,Enemy,Single,12,0,Support,,
510,ヤク,灼ける呪いで相手を焼く.,Enemy,Single,10,0,Hybrid,,
511,イカル,二体を呪って即座に墜とす.,Enemy,Column,16,0,Support,,
512,バリバリ,雷撃を全体へばら撒く.,Enemy,All,14,0,Hybrid,,
513,リジェネレイ,再生の祈りで味方一人へ継続回復を授ける.,Ally,Single,52,0,Support,,
514,ソウルリープ,魂を引き剥がす禁忌の呪法。ボスには効かない.,Enemy,Single,24,0,Support,,
515,ポイズンショット,毒を塗った矢で敵を撃ち抜き蝕む.,Enemy,Single,11,0,Hybrid,,
516,急所撃ち,急所を狙い澄ました必殺の狙撃.,Enemy,Single,12,0,Support,,
517,スタンワイヤー,仕込んだ鋼線で敵を絡め取り麻痺させる.,Enemy,Single,11,0,Hybrid,,
518,絶対守護,味方すべてへの痛みを引き受ける誓いを立てる.,Self,Single,31,1,Support,,
519,千罠陣,無数の罠を戦場全面へ張り巡らせる.,Enemy,All,117,0,Support,,
520,デスハント,死角から放つ狙撃でわずかな隙を刈り取る.,Enemy,Single,25,0,Support,,
521,首狩り,一瞬の隙に喉元を断ち運命を終わらせる.,Enemy,Single,23,0,Support,,
601,バグ,自壊と引き換えに敵全体を破壊する.,Enemy,All,18,0,Hybrid,,
602,マナセレネイド,静かな魔力の歌で味方全体のMPを満たす.,Ally,All,251,0,Support,,
603,冥王のちょうはつ,冥王の威圧で敵意を引き受けつつ守りを固める.,Self,Single,35,1,Support,,
604,冥府の息吹,冥府の息吹で味方全体の傷を深く癒やす.,Ally,All,251,0,Support,,
605,冥府再臨,冥府から魂を呼び戻して味方を戦列へ復帰させる.,Ally,Single,262,0,Support,,Dead
606,妖星鼓舞,妖しい星光で味方全体の攻撃・防御・知力を押し上げる.,Ally,All,16,1,Support,,
607,死告の審判,冷たい宣告で敵単体に高確率の死を刻む.,Enemy,Single,20,0,Support,,
608,奈落星,奈落の星光を一点へ収束させる極大単体魔法.,Enemy,Single,49,0,Attack,,
609,穿牙射ち,装甲の継ぎ目を射抜く一点狙撃.,Enemy,Single,13,0,Attack,,
610,星穿つ矢,猟王の眼で見抜いた急所へ星光の一矢を撃ち込む.,Enemy,Single,26,0,Attack,,
611,覇軍薙ぎ,覇者の号令とともに敵一列を断ち払う将軍の薙ぎ払い.,Enemy,Row,77,0,Attack,,
